study_id	cohort_id
hnsc_tcga_pub	hnsc_tcga_pub_rna_seq_v2_mrna
blca_tcga_pub	blca_tcga_pub_rna_seq_v2_mrna
brca_tcga_pub	brca_tcga_pub_mrna
coadread_tcga_pub	coadread_tcga_pub_mrna
coadread_tcga_pub	coadread_tcga_pub_rna_seq_mrna
gbm_tcga_pub	gbm_tcga_pub_mrna
kirc_tcga_pub	kirc_tcga_pub_mrna
kirc_tcga_pub	kirc_tcga_pub_rna_seq_v2_mrna
kich_tcga_pub	kich_tcga_pub_rna_seq_v2_mrna
laml_tcga_pub	laml_tcga_pub_rna_seq_v2_mrna
luad_tcga_pub	luad_tcga_pub_mrna
luad_tcga_pub	luad_tcga_pub_rna_seq_v2_mrna
lusc_tcga_pub	lusc_tcga_pub_mrna
lusc_tcga_pub	lusc_tcga_pub_rna_seq_mrna
ov_tcga_pub	ov_tcga_pub_mrna
prad_tcga_pub	prad_tcga_pub_rna_seq_v2_mrna
stad_tcga_pub	stad_tcga_pub_rna_seq_v2_mrna
thca_tcga_pub	thca_tcga_pub_rna_seq_v2_mrna
ucec_tcga_pub	ucec_tcga_pub_mrna
ucec_tcga_pub	ucec_tcga_pub_rna_seq_v2_mrna
sarc_tcga_pub	sarc_tcga_pub_rna_seq_v2_mrna
