Adipocytes,Astrocytes,B-cells,CD4+ T-cells,CD8+ T-cells,Chondrocytes,DC,Endothelial cells,Eosinophils,Epithelial cells,Erythrocytes,Fibroblasts,HSC,Keratinocytes,Macrophages,Melanocytes,Mesangial cells,Monocytes,Myocytes,Neurons,Neutrophils,NK cells,Pericytes,Skeletal muscle,Smooth muscle
TUSC5,FGG,FCRL5,CTLA4,CD8B,ANGPTL5,BCL2L14,SOX18,PRSS33,AGR2,TSPO2,C7,MPL,MRGPRX3,ATP6V0D2,TYR,NKAIN4,CD300E,MYF5,STMN4,MIR1248,FASLG,MAEL,NT5C1A,IL13RA2
PCK1,SYTL5,MIR650,ICOS,CD8A,BARX1,HMSD,PCDH12,ENTPD2,S100A14,HBZ,ADAM33,CRYGD,HEPHL1,TM4SF19-TCTEX1D2,SOX10,UGT2B7,ASGR2,TNNT2,SCG3,CXCR1,DTHD1,IL24,ART1,SNORA57
ADIPOQ,LINC00460,PAX5,FAM153A,KLRC4,ACAN,CCL17,TNFSF18,SIGLEC8,CLDN4,PKLR,BMPER,IGLL1,CALML3,HAMP,SLC24A5,HNF1B,CD1C,ASB5,GABRG2,ASPRV1,LGR6,STRA6,FBP2,SNORA62
LEP,PAX6,FCRL2,SIRPG,KLRC4-KLRK1,SCRG1,CD1B,FLT4,CACNA1D,GJB3,RHD,CD248,PRSS57,IRX4,CCL22,MLANA,MMP24,SLC24A4,MYOG,GDAP1L1,BTNL8,KLRC2,GATA4,PPP1R3A,CDH6
AQP7,SEMA3E,POU2AF1,CD28,GZMK,PCSK1,MMP12,TM4SF18,MFSD6L,KRT14,GYPA,OSR1,SPINK2,XDH,TREM2,SLC45A2,LRRN4,LGALS2,ACTC1,PCSK2,FAM157A,NMUR1,TRPA1,C8orf22,COL14A1
AZGP1,PLN,TNFRSF13C,CD5,THEMIS,SMOC2,TMPRSS13,SHE,RNF103-CHMP3,C1orf106,UCA1,SVEP1,CRHBP,PNLIPRP3,SLAMF8,OCA2,CLDN6,ZEB2-AS1,CHRNA1,GNG13,TRPM6,PTGDR,ACTG2,KLHL38,HEPH
TMEM132C,DIRAS3,CD19,THEMIS,KLRK1,KCNH1,CCL13,ANO2,MIRLET7G,KRT16,RHCE,PLAC9,CLDN10,FGFBP1,SDS,ABCB5,DCDC2,CCL20,HAS1,DPP6,CD177,KLRC3,PITX2,C10orf71,MIR100HG
PLA2G2A,ACTG2,MEF2B,UBASH3A,SIRPG,KIAA1644,CLEC4G,CXorf36,MIR505,PKP3,SLC25A21,CREB3L1,DPPA4,EPN3,TM4SF19,DCT,HOXB9,CCR2,TNNI1,RGS8,MAK,FCRL6,PITX1,DHRS7C,TMEM200A
PLIN1,PODNL1,TNFRSF17,CD6,GZMM,PENK,CCL19,ECSCR,MIR374A,MAL2,GYPB,PODN,FLT3,DLK2,APOC2,LINC00518,LHX1,LIPN,SCUBE3,GAD2,SLC26A8,KLRC1,MMP3,NRAP,PTGIS
SLC19A3,PPP2R2B,IGLL5,BCL11B,GZMA,COMP,CD1E,DLL4,MIR223,KRT6A,KLF1,SLIT3,PROM1,KRT6B,ADAMDEC1,C10orf90,WNT7B,CLEC10A,SGCA,ABCC12,NLRP6,XCL2,FOXF1,SMTNL1,SLC14A1
CIDEC,CACNA1H,CLEC17A,FAM153B,CD3G,HAPLN1,RUFY4,APLN,MIR26B,ITGB6,EPB42,PCDH18,C6orf25,ARTN,SLC6A12,TRPM1,FOXC2,TUBB1,CASQ2,GABRA6,C19orf35,SH2D1B,BDKRB1,ASB11,HAS2
CIDEA,OXTR,KLHL14,CD3G,PRF1,OMD,SLCO5A1,BCL6B,SMPD3,KRT17,HBM,ISLR,KIAA0125,KRT14,SLAMF9,ALX1,CD70,NRGN,MYL1,FAM135B,SLC22A1,CD160,MASP1,MYBPC2,IL33
CD300LG,SAMD11,BLK,CD40LG,CD5,SMOC1,ALOX15,HSD17B2,MIRLET7I,KRT5,GYPE,TMEM119,SPNS3,TNS4,FPR3,IGSF11,GLIS2,CD1D,MYH3,KLHL1,CASP5,TBX21,IL11,DDN,PAMR1
CALB2,APCDD1L,VPREB3,ITK,CD28,NDNF,CD80,CDH5,PTGDR2,CDH3,HBE1,TWIST2,CPA3,LGALS7B,C11orf45,TYRP1,CRB3,CD300C,TNNC1,SLC35F4,CMTM2,EOMES,VAT1L,RPL3L,TBX2
CYP4B1,CNN1,TCL1A,TRAT1,SNORA11D,FGF1,EBI3,KANK3,IL5RA,EHF,C17orf99,PAMR1,MZB1,FAT2,CCR5,GREB1,HKDC1,TPPP3,NPTX2,NRSN1,FCGR3B,KLRD1,HAND2,CSRP3,FGF7
PRG4,CLSTN2,BHLHA15,CD3D,SNORA11E,PRG4,MUCL1,ANGPT2,ALOX15,LAD1,AHSP,CCBE1,MLC1,KLK5,PLA2G7,BCAN,PAX8,GPR84,SFRP4,CNTNAP5,PGLYRP1,LINC00299,BDKRB2,MB,SNORA59B
ACVR1C,DIO2,MS4A1,CD247,ICOS,PITX1,CCL18,SHROOM4,C19orf71,AP1M2,SLC4A1,CXCL12,SLC22A16,MIR205HG,APOC4-APOC2,PMEL,GRB14,CCL3L3,KCNE4,HTR5A,CYP4F3,KLRC4,ADAMTS12,SYNPO2L,ADAM33
PRELP,HOXB-AS3,CR2,PVRIG,UBASH3A,SOX5,LAMP3,KDR,MIR1306,SFN,RHAG,PCOLCE,CTSW,ZBED2,SNORD104,TSPAN10,HOXA3,SCIMP,NEB,SLC5A11,IL18RAP,KLRF1,PAPPA,HFE2,SOD3
BTNL9,COL22A1,CXCR5,CD2,IL2RB,OGN,UBD,NOS3,MIR191,ELF3,ST6GALNAC1,SOD3,GFI1B,SERPINB5,KMO,ATP10B,CLDN4,CD86,SYNPO2,CAMK2N2,KCNK7,GZMH,BDNF,MYH6,COL15A1
RBP4,SFRP4,SPIB,FAM159A,CD6,GDF6,DNASE1L3,ROBO4,GIPR,LAMC2,KRT13,GLT8D2,HPGDS,CLCA2,MARCO,KCNJ13,ATRNL1,GPR35,HAS2,CACNG2,LRRC4,PDZD4,TMEM200A,DUSP27,ABCA8
MLXIPL,CPA4,PNOC,GZMM,CD3D,PLCE1,TNFRSF4,RELN,HRH4,IRF6,ANKLE1,ADAMTS2,STAP1,GJB5,C1QC,MGAT5B,CLSTN2,HCAR3,DES,CA7,REM2,LGALS9C,STC1,MYL2,TNFRSF11B
CILP,PTPRN,RGS13,SIT1,NELL2,CP,CRLF2,RASIP1,CACNG6,S100A2,ALAS2,VGLL3,MPO,SOX15,MSR1,PAX3,FOXD1,HCAR2,NCAM1,PLEKHD1,PI3,S1PR5,CLDN1,MYBPC1,TWIST1
ITIH5,SLC12A8,FCRLA,SLFN12L,BCL11B,FGFR2,IDO1,ESM1,OLIG2,CLDN1,KEL,GAS1,MYB,SPRR1B,LILRB4,LINC00473,GPR143,S100A12,HSPB2-C11orf52,ST8SIA3,CXCR2,KLRC4-KLRK1,ARSI,AMPD1,ARHGEF25
AOC3,PNMAL1,EML6,NELL2,SIT1,SLC2A12,C17orf96,CLEC14A,LINC00299,TACSTD2,AMHR2,PRRX1,C20orf96,GYLTL1B,TPRG1,EFR3B,C1orf106,OASL,COL11A1,CNTN2,CA4,NCR1,FIBIN,MYF6,GALNT5
DPT,GDF5,SNX22,CD3E,PVRIG,TBX15,CCL22,CLDN5,CNR2,FAM83H,HBG1,MRGPRF,ACRBP,TP63,SLCO2B1,PLP1,DOC2B,MTMR11,MYL4,CDR1,KRT23,TIGIT,HSD17B2,SRL,GPC6
PPP1R1A,APLP1,FCRL1,CD27,KLRB1,SIX1,BATF3,RHOJ,BEGAIN,COL17A1,KCNH2,SEMA5A,HEMGN,CBLC,PTPRO,SHC4,CELSR2,EREG,NDUFA4L2,C11orf87,MGAM,GZMB,TMEM158,IDI2,ITGBL1
KCNIP2,VAT1L,HLA-DOB,CAMK4,CD2,ADAMTS5,CCL23,HHIP,SLC16A14,CDH1,ITLN1,CLEC3B,BAALC,S100A14,RAB42,ABCC2,LYPD1,CES1,CRLF1,HAPLN4,ROPN1L,PRF1,LIF,CASQ1,THBS2
CXCL14,MXRA5,CD79A,SLAMF1,SH2D1A,WISP1,MCOLN2,KLHL4,MIR7-1,ITGB4,HBQ1,FGF7,GTSF1,DSG3,EGR2,CA14,SHISA2,TNF,PPFIA4,SKOR1,KIAA1324,IL2RB,IGF2BP1,TRDN,PAPPA
ITLN1,FOXD1,FAM129C,ZAP70,CD27,GDF5,TNFRSF11A,NOX4,PNMA6A,LAMA3,SNX22,ITGA11,DICER1-AS1,CKMT1B,GPR34,LZTS1,CDH6,LILRA1,MYLPF,SHISA6,CEACAM3,FCRL3,PALM2-AKAP2,SYPL2,ADH1B
GHR,B4GALNT4,FCRL3,SH2D1A,CD3E,CACNB4,SLAMF1,PTPRB,IL34,C19orf33,SPTA1,TWIST1,KIT,FXYD3,C1QA,STK32A,ELF3,NOD2,ITGA7,RIPPLY2,MMP25,CD8A,SCARNA16,MYH1,HMCN1
ALDH1L1,PKIB,CPNE5,TCF7,FGFBP2,GLDN,CD209,MMRN2,IDO1,IGSF3,MYL4,HSPB6,MS4A3,FAM83F,C1QB,PLEKHH1,LAD1,VSTM1,PALM2-AKAP2,ARHGEF33,ARG1,GZMA,TBX2,SMYD1,SNURF
PTGER3,PTN,DTX1,MAL,ITK,SIX2,EHF,SOX17,HRASLS5,CLDN7,XK,FIBIN,PRSS21,FGFR3,GPC4,PLA1A,MAL2,FCN1,LIF,ATXN8OS,VNN3,FGFBP2,IL1A,LDB3,GLT8D2
MAOB,MMP23B,TLR10,IKZF3,GPR171,MXRA5,CD1C,JAG2,CYP4F12,DSP,CR1L,PTGIS,S100Z,KRT5,TMEM150B,TRIM63,CLDN1,APOBEC3A,LRRC17,CLEC2L,OLFM4,CX3CR1,MMP16,UNC45B,HSPB6
MT1A,LMOD1,DERL3,GPRASP1,CD247,LNX1,IZUMO4,PREX2,MIR374B,DMKN,FAM83A,VASN,C1orf186,KLC3,SLC37A2,RAB17,FXYD2,TREM1,MFAP5,PCDHA13,ANKRD22,GNLY,IL6,CACNA1S,FIBIN
AGTR1,LYPD1,AIM2,KCNA3,IKZF3,ECM2,SYT17,VWF,CCR3,KIAA1522,FAM178B,MEIS3,HBD,FAM83A,SLAMF7,GPR143,AP1M2,CD101,LOXL4,ATP2B2,LINC00282,KLRK1,HS3ST3A1,CHRND,PPP1R3C
SAA1,PDE1C,BANK1,GPR171,ZAP70,CPXM2,CYP7B1,FGD5,OLIG1,KRT7,HBD,PDGFRA,PDE6G,CKMT1A,LPL,SYT14,WWC1,CCL3,ANKRD1,PSD2,CRISP3,NCR3,WNT5A,CACNG1,PCDH18
GYG2,LINC00511,BLNK,GPR174,CD7,BMPER,IL2RA,BMX,PTTG2,PMEPA1,PCYT1B,MOXD1,GUCY1A3,GPR87,CD300C,FCRLA,CNN1,NLRP3,TGFB2,PCP4,EPHB1,AKAP5,GREM1,MYH7,CA12
EGFLAM,MIR31HG,SIT1,CD7,SLFN12L,CPA4,LY75-CD302,TSPAN18,PIK3R6,EPS8L1,RFESD,SH2D4A,ATP6V1G2-DDX39B,TRIM29,FBP1,ERBB3,C19orf33,MEFV,GALNT5,SULT4A1,PHOSPHO1,PPP2R2B,BNC1,XIRP1,LOXL4
SAA2,COL11A1,CD180,BACH2,SAMD3,FOXC1,FCER2,TEK,BAIAP3,MDFI,CA1,LOXL4,TMEM220,GJB3,MS4A4A,GNAL,HS3ST3A1,MPEG1,PAPPA,STX19,TLR10,KLRB1,PKIB,ACTN2,MEIS3
